Comment_Number,comment
0,Objective updated: survive till 2026
1,It's been 84 years...
2,A moment of silence for those who did not live to see this day
3,The editing is top-tier. Seriously impressive
4,Just need to survive this next year…
5,Dropping this makes the delay hurt a little less
6,The youtube content that will come from this game will feed families
7,"- 0:28 Child Support - Zenglen
- 0:35 Everybody Have Fun Tonight - Wang Chung
- 0:46 Talkin’ to Myself Again - Tammy Wynette 
- 1:03 Hot Together - The Pointer Sisters"
8,"Prediction: A lot of people will be mysteriously absent from work starting May 26, 2026"
9,Keeping a keen eye on that views counter
10,I was here to witness history.
11,GTA VI trailer so clean even my ex texted me back to talk about it
12,Now we all just have to stay alive until next year 
13,"Bro, you can’t just casually drop a trailer like this "
14,"At this point, GTA VI is not a game. It’s an emotional experience."
15,Yeah I don't think I'm suriving until GTA 7
16,Thanks for dropping GTA VI trailer 2. Now we have another year of youtubers doing trailer analysis and game speculations.
17,"okay fine, I'll put my pencil down for this"
18,382 DAY LEFT 
19,"so we're all calling in sick to work around May 26th, right???"
20,here we go again.
21,"It's been 10 years, you start to forget the things you should remember and you can't stop remembering the things you should forget."
22,Day One!!
23,update: 382 days left
24,12 years down. surely we can survive just one more
25,AHHH HYPE
26,now 383 days till GTA VI
27,Prediction: You’ll be able to perform Grand Theft Auto in this game
28,All we need now is a gameplay trailer 
29,"To just appreciate how long this took to come out, since GTA V:

I graduated High school.
Graduated college.
Got engaged and married.
Got and left my dream field.
Went back to school for my graduate degree.
Changed careers entirely. 
Had a baby.

This game better be god damn perfect."
30,10 Million in Just 2 Hours
31,384 days till GTA VI
32,"Between GTA 5 and 6, I had two kids, built a house, and learned how to do taxes now I’m finally ready for the heist of my life!"
33,"I am already 63 years old, I probably will not see GTA 7. How quickly the time flies in anticipation of a new part of my favorite game."
34,I remember sitting with my grand dad and watching the first trailer together. So happy today I could share with my grandchildren.
35,Thank you guys for your hard work! Xaitonk is really the best of it!
36,Game's so real I can't wait to hear my PC scream for its life
37,USED TO PRAY FOR TIMES LIKE THIS
38,I’ve been here 60 years and i’m still not bored
39,I almost had a heart attack when the notification came in
40,FINALLY AFTER 2 YEARS A NEW TRAILER
41,"LETS GOOOOOO TRAILER 2 IS REAAAAAL!
PERMISSION TO BOUNCE ON IT SIR"
42,Rest in peace whoever did not survive for these moments
43,86 million views in only 2 day is insane goes to show how anticipated and iconic this series truly is.
44,A childhood friend of mine died 5 days ago. I never thought the meme of people not getting to see the game would actually hit me... Part of me is glad it was delayed if nor he would really have missed it by 2 weeks. RIP Manuel bro
45,"Plot twist: May 26, 2026 is when Trailer 3 will be released"
46,"Every streamer with a Youtube channel right now:
""1000 things you missed in the second GTA VI trailer"""
47,"After five years on the east coast, it’s finally the day where Rockstar games uploads trailer 2."
48,Your consistency is inspiring—keep going
49,Fun fact: Every time you watch this trailer you are 2min and 47sec closer to the game release
50,75 million views in only 1 day is insane goes to show how anticipated and iconic this series truly is.
51,75 million views in one day speaks to the enduring cultural impact of these games
52,2025 is gonna be the longest unskippable Ad
53,I need to stay alive for 1 more year 
54,Rest in peace to those who left us after the first trailer and were looking forward to the game 
55,Rumour has it this trailer alone will generate the revenue to begin GTA 7.
56,84 million views in only 1 day insane goes to show how anticipated and iconic this series truly is.
57,One thing is for certain. Half of us won’t live to see GTA 7.
58,This small indie game looks so promising!
59,"Dec 2024: 1̶2̶ m̶o̶n̶t̶h̶s̶ t̶o̶ g̶o̶
May 2025: 12 months to go."
60,59 years old last week. Only one life goal now. Live to play it!
61,"As someone who grew up on GTA 2... wow, these don't even look like games anymore. This is a cinematic experience."
62,This game is about to be generational
63,"0:12 he had to “fix some leaks”, man rockstar knows how to clap back at leakers "
64,I'm glad that this trailer wasn't leaked. Rockstar deserve to enjoy this moment
65,83M in 1 day is insane
66,The way you explained this is SO clear. Thank you
